GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
petclinic,org.springframework.samples.petclinic,PetclinicInitializer,124,0,0,0,24,0,8,0,8,0
petclinic,org.springframework.samples.petclinic.model,NamedEntity,3,10,0,0,1,4,1,3,1,3
petclinic,org.springframework.samples.petclinic.model,Specialty,0,3,0,0,0,1,0,1,0,1
petclinic,org.springframework.samples.petclinic.model,PetType,0,3,0,0,0,1,0,1,0,1
petclinic,org.springframework.samples.petclinic.model,Vets,0,14,0,2,0,4,0,3,0,2
petclinic,org.springframework.samples.petclinic.model,Visit,0,29,0,0,0,12,0,7,0,7
petclinic,org.springframework.samples.petclinic.model,BaseEntity,0,17,0,2,0,5,0,5,0,4
petclinic,org.springframework.samples.petclinic.model,Person,0,17,0,0,0,7,0,5,0,5
petclinic,org.springframework.samples.petclinic.model,Owner,45,93,3,7,13,27,6,13,3,11
petclinic,org.springframework.samples.petclinic.model,Pet,4,61,0,2,2,19,1,11,1,10
petclinic,org.springframework.samples.petclinic.model,Vet,4,41,0,2,2,10,1,6,1,5
petclinic,org.springframework.samples.petclinic.service,ClinicServiceImpl,0,59,0,0,0,18,0,10,0,10
petclinic,org.springframework.samples.petclinic.web,OwnerController,0,142,0,10,0,36,0,14,0,9
petclinic,org.springframework.samples.petclinic.web,PetTypeFormatter,0,44,0,4,0,10,0,5,0,3
petclinic,org.springframework.samples.petclinic.web,PetController,12,100,4,6,3,27,4,10,0,9
petclinic,org.springframework.samples.petclinic.web,PetValidator,10,31,3,5,2,9,3,4,0,3
petclinic,org.springframework.samples.petclinic.web,VisitController,0,53,0,2,0,16,0,7,0,6
petclinic,org.springframework.samples.petclinic.web,VetController,0,37,0,0,0,10,0,3,0,3
petclinic,org.springframework.samples.petclinic.web,CrashController,0,8,0,0,0,2,0,2,0,2
petclinic,org.springframework.samples.petclinic.util,EntityUtils,10,22,2,4,2,4,3,2,1,1
petclinic,org.springframework.samples.petclinic.util,CallMonitoringAspect,106,12,4,0,21,4,8,1,6,1
petclinic,org.springframework.samples.petclinic.repository.jdbc,JdbcVisitRowMapper,0,30,0,0,0,7,0,2,0,2
petclinic,org.springframework.samples.petclinic.repository.jdbc,JdbcPetRepositoryImpl,8,126,0,2,2,31,0,6,0,5
petclinic,org.springframework.samples.petclinic.repository.jdbc,JdbcVetRepositoryImpl,0,76,0,4,0,17,0,4,0,2
petclinic,org.springframework.samples.petclinic.repository.jdbc,JdbcPetRowMapper,0,40,0,0,0,9,0,2,0,2
petclinic,org.springframework.samples.petclinic.repository.jdbc,JdbcVetRepositoryImpl.new BeanPropertyRowMapper() {...},0,11,0,0,0,2,0,2,0,2
petclinic,org.springframework.samples.petclinic.repository.jdbc,JdbcVisitRepositoryImpl,5,107,1,3,1,25,1,5,0,4
petclinic,org.springframework.samples.petclinic.repository.jdbc,JdbcPet,3,14,0,0,1,6,1,4,1,4
petclinic,org.springframework.samples.petclinic.repository.jdbc,JdbcPetVisitExtractor,0,29,0,2,0,8,0,5,0,4
petclinic,org.springframework.samples.petclinic.repository.jdbc,JdbcOwnerRepositoryImpl,8,175,0,6,2,41,0,10,0,7
petclinic,org.springframework.samples.petclinic.repository.jpa,JpaVisitRepositoryImpl,5,25,1,1,1,7,1,3,0,3
petclinic,org.springframework.samples.petclinic.repository.jpa,JpaOwnerRepositoryImpl,0,52,0,2,0,11,0,5,0,4
petclinic,org.springframework.samples.petclinic.repository.jpa,JpaVetRepositoryImpl,0,9,0,0,0,2,0,2,0,2
petclinic,org.springframework.samples.petclinic.repository.jpa,JpaPetRepositoryImpl,0,31,0,2,0,7,0,5,0,4
